Function,Parameters,Start Line,End Line,Direct Callers,Direct Dependencies,Services,Destructive/Write Ops,Public Naming,Reachability,Risk Hint
normalizeHex_,hex,1741,1751,captureActiveSheetLayoutSnapshot_; getDefaultLayoutSnapshotBorderConfig_; getThemeColorsFromBase_; hexToRgb_; loadGlobalSettings_; loadSheetDefinitions_,,,,Private/helper,Reachable,Low
hexWithHslLightness_,"hex, lightnessPercent",1752,1758,getThemeColorsFromBase_,hexToRgb_; hslToRgb_; rgbToHex_; rgbToHsl_,,,Private/helper,Reachable,Low
hexToRgb_,hex,1759,1767,hexWithHslLightness_,normalizeHex_,,,Private/helper,Reachable,Low
rgbToHex_,"r, g, b",1768,1775,hexWithHslLightness_,,,,Private/helper,Reachable,Low
rgbToHsl_,"r, g, b",1776,1797,hexWithHslLightness_,,,,Private/helper,Reachable,Low
hslToRgb_,"h, s, l",1798,1819,hexWithHslLightness_,,,,Private/helper,Reachable,Low
startRuntimeTiming_,"processName, monthParts",1820,1833,buildDemoPFromScratch; buildMonthlyChangeReport; createMasterList; formatRawData; processDemoP; updateDemoPMonthlySync; updateMasterListForMonth_,,,,Private/helper,Reachable,Low
markRuntimeStep_,"timing, label, details",1834,1860,buildDemoPFreshRowsForPMRs_; buildDemoPFromScratch; buildMonthlyChangeReport; buildMonthlyChangeReportForMonth_; createMasterList; formatRawData; getOrBuildMonthlyChangeReport_; getOrCreateDemoPProcessingSheet_; markFrameworkStep_; processBlankContactSummariesOnDemoP_; processDemoP; processDemoPAsWorkingSource_; processMasterListFull_; processMasterListSingleDataPass_; rebuildChangedPMRsOnExistingMaster_; updateDemoPMonthlySync; updateExistingDemoPFromRawData_; updateMasterListForMonth_; updateMasterListFromMonthlyChangeActions_,formatSeconds_; getRuntimeTimingSeverity_; logRuntimeTiming_,,,Private/helper,Reachable,Low
addRuntimeCounter_,"timing, name, value",1861,1865,,,,,Private/helper,No static path,Low
logRuntimeInfo_,"processName, message, details",1866,1870,,,Logger,,Private/helper,No static path,Medium
logRuntimeWarning_,"processName, message, details",1871,1875,logBestEffortWarning_,,Logger,,Private/helper,Reachable,Medium
logRuntimeError_,"processName, message, details",1876,1880,,,Logger,,Private/helper,No static path,Medium
logBestEffortWarning_,"message, details",1881,1884,appendDisenrolledDeltasToExclusionSheet_; appendRuntimeTimingToFrameworkTimingReport_; applyAlternatingColorRules_; applyColumnWidthsInRuns_; applyCurrentVsOlderTabColors_; applyDashboardQualityReportColumnSettings_; applyGlobalDefaultRowHeightsToSheet_; applyHeaderRow_; applyIndexSheetRowFills_; applyMonthlyChangeSpacerRow3Format_; applyStandardFormatting_; applyTemplateFreezeAndTabColor_; applyTitleRows_; archiveMonthlySheetsBySpecs_; archiveRawDataSheet_; autoHidePreviousMonthSheetsAfterWorkflow_; buildTemplateFromDashboardSafely_; clearTemplateForFullBuild_; collectAndClearMovedTitleInfoCells_; copyDemoPHeaderRowsToMasterList_; copySheetToArchiveAndDeleteLocal_; createActiveDemoPFromRawData_; createDisenrolledExclusionSheetFromDashboardTemplate_; createIndexSheet; createMasterList; createMasterListSheetFromTemplate_; createOrRefreshAllReportTemplates; createRawDataOutputSheetFromTemplateFast_; dashboardQualitySectionContentMatches_; deleteLegacyQualityReportSheet_; enforceDemoPStrictDashboardSchema_; enforceGlobalSheetSortOrder_; ensureGoldenMasterTemplate_; ensureOutputSheetHasFormattedRows_; ensureTemplateFilter_; finalizeWorkflowAfterCreateOrUpdate_; forceStandardTitleCellAlignment_; formatDateColumnsByHeader_; formatMonthlySheets; getDashboardQualitySectionRows_; getMostRecentTimingDurationForSectionKey_; getStoredTemplateFormatSignatureFromSheet_; getStoredTemplateFormatSignature_; handleSpreadsheetChangeForIndex; hideOldDisenrolledRows_; hideSheetIfNeeded_; hideSystemAndTestingSheets_; hideTemplateIfNeeded_; initializeSystemSheets_; isFrameworkTimingEnabled_; lockFinalOutputRowHeights_; moveDisenrolledPMRsFromDemoPToExclusion_; notify_; organizeWorkbookTabs_; rebuildDashboardQualityReportShellCompact_; rebuildFrameworkTimingReportShellCompact_; removeActiveDemoPPMRsFromDisenrolledExclusion_; replaceDashboardQualitySectionRows_; restorePreviouslyHiddenSheets_; runMonthlyUpdate; safeSetRowHeights_; saveDashboardQualitySectionRows_; showSheetIfNeeded_; showSystemSheetsNow; storeTemplateFormatSignature_; styleDashboardQualityUpdatedSections_; styleDashboard_; styleFrameworkTimingReport_; syncRawDataBannerColumns_; trimSheetToColumnCount_; trimTimingReportRows_; updateMasterListForMonth_; writeDashboardDefaultsFast_; writeFrameworkTimingReportBestEffort_; writeRuntimeTimingReportBestEffort_; writeTemplateMetadata_,logRuntimeWarning_,,,Private/helper,Reachable,Low
logRuntimeTiming_,"processName, stepName, stepSeconds, totalSeconds, severity, details",1885,1901,markRuntimeStep_,formatSeconds_; getRuntimeTimingSeverity_,Logger,,Private/helper,Reachable,Medium
getRuntimeTimingSeverity_,seconds,1902,1909,appendRuntimeTimingToFrameworkTimingReport_; logRuntimeTiming_; markFrameworkStep_; markRuntimeStep_,,,,Private/helper,Reachable,Low
getRuntimeTimingReportName_,processName,1910,1913,,,,,Private/helper,No static path,Low
writeRuntimeTimingReport_,timing,1914,1917,buildDemoPFromScratch; buildMonthlyChangeReport; createMasterList; formatRawData; processDemoP; updateDemoPMonthlySync; updateMasterListForMonth_,writeRuntimeTimingReportBestEffort_,,,Private/helper,Reachable,Low
writeRuntimeTimingReportBestEffort_,timing,1918,1929,writeRuntimeTimingReport_,appendRuntimeTimingToFrameworkTimingReport_; logBestEffortWarning_; writeCombinedFrameworkTimingReport_,,,Private/helper,Reachable,Low
writeConsolidatedTimingSummaryReport_,,1930,1933,refreshFrameworkTimingReport,writeCombinedFrameworkTimingReport_,,,Private/helper,No static path,Low
writeCombinedFrameworkTimingReport_,,1934,1951,runDashboardQualityFull; updateDashboardQualitySummaryTimingAndSignoffSections_; updateDashboardQualityTimingSummarySection_; verifyFrameworkConfiguration; writeConsolidatedTimingSummaryReport_; writeFrameworkPerformanceRecommendationsSheet_; writeFrameworkTimingReportBestEffort_; writeRuntimeTimingReportBestEffort_,buildFrameworkTimingIssueRows_; buildFrameworkTimingProcessSummaryRows_; buildFrameworkTimingRecommendationRows_; ensureFrameworkTimingReport_; getFrameworkTimingDetailRows_; getFrameworkTimingRetentionLimit_; notify_; replaceFrameworkTimingSectionRows_; styleFrameworkTimingReport_,,,Private/helper,Reachable,Low
getFrameworkTimingRetentionLimit_,,1952,1955,appendRuntimeTimingToFrameworkTimingReport_; writeCombinedFrameworkTimingReport_,,,,Private/helper,Reachable,Low
getFrameworkTimingReportSheetName_,,1956,1959,initializeFrameworkTimingSheet_,,,,Private/helper,Reachable,Low
getFrameworkTimingSectionRegistry_,,1960,1984,collectExistingFrameworkTimingSectionBlocks_; getFrameworkTimingSectionForId_; hasFrameworkTimingReportShell_; rebuildFrameworkTimingReportShellCompact_; styleFrameworkTimingReport_,,,,Private/helper,Reachable,Low
findFrameworkTimingSectionRow_,"sheet, sectionTitle",1985,1997,collectExistingFrameworkTimingSectionBlocks_; getFrameworkTimingDetailRows_; getFrameworkTimingDetailStartRow_; hasFrameworkTimingReportShell_; replaceFrameworkTimingSectionRows_; styleFrameworkTimingReport_,,,,Private/helper,Reachable,Low
findNextFrameworkTimingSectionRow_,"sheet, startRow",1998,2010,collectExistingFrameworkTimingSectionBlocks_; getFrameworkTimingDetailRows_; replaceFrameworkTimingSectionRows_; styleFrameworkTimingReport_,,,,Private/helper,Reachable,Low
collectExistingFrameworkTimingSectionBlocks_,sheet,2011,2029,rebuildFrameworkTimingReportShellCompact_,findFrameworkTimingSectionRow_; findNextFrameworkTimingSectionRow_; getFrameworkTimingSectionRegistry_; trimTrailingBlankRows_,,,Private/helper,Reachable,Low
buildDefaultFrameworkTimingSectionBlock_,section,2030,2041,normalizeFrameworkTimingSectionBlock_,,,,Private/helper,Reachable,Low
normalizeFrameworkTimingSectionBlock_,"section, block",2042,2071,rebuildFrameworkTimingReportShellCompact_,buildDefaultFrameworkTimingSectionBlock_; normalizeSectionRowForWidth_; rowHasAnyValue_; trimTrailingBlankRows_,,,Private/helper,Reachable,Low
rebuildFrameworkTimingReportShellCompact_,sheet,2072,2113,ensureFrameworkTimingReportShell_; initializeFrameworkTimingSheet_; replaceFrameworkTimingSectionRows_,collectExistingFrameworkTimingSectionBlocks_; getFrameworkTimingSectionRegistry_; logBestEffortWarning_; normalizeFrameworkTimingSectionBlock_; normalizeSectionRowForWidth_; styleFrameworkTimingReport_,,clearContent; setValues,Private/helper,Reachable,High
hasFrameworkTimingReportShell_,sheet,2114,2140,ensureFrameworkTimingReportShell_; initializeFrameworkTimingSheet_; replaceFrameworkTimingSectionRows_,findFrameworkTimingSectionRow_; getFrameworkTimingSectionRegistry_,,,Private/helper,Reachable,Low
initializeFrameworkTimingSheet_,,2141,2159,ensureFrameworkTimingReport_; initializeSystemSheets_,getFrameworkTimingReportSheetName_; hasFrameworkTimingReportShell_; rebuildFrameworkTimingReportShellCompact_; showSheetIfNeeded_; styleFrameworkTimingReport_,SpreadsheetApp,insertSheet,Private/helper,Reachable,High
ensureFrameworkTimingReport_,,2160,2163,appendRuntimeTimingToFrameworkTimingReport_; collectDashboardQualityPerformanceSummaryRows_; writeCombinedFrameworkTimingReport_,initializeFrameworkTimingSheet_,,,Private/helper,Reachable,Low
trimSheetToColumnCount_,"sheet, requiredCols, label",2164,2177,applyDashboardQualityReportColumnSettings_; styleFrameworkTimingReport_; writeDashboardDefaultsFast_,logBestEffortWarning_,,deleteColumns,Private/helper,Reachable,High
styleFrameworkTimingReport_,"sheet, sectionIds",2178,2280,initializeFrameworkTimingSheet_; rebuildFrameworkTimingReportShellCompact_; replaceFrameworkTimingSectionRows_; writeCombinedFrameworkTimingReport_,findFrameworkTimingSectionRow_; findNextFrameworkTimingSectionRow_; getFrameworkTimingSectionForId_; getFrameworkTimingSectionRegistry_; logBestEffortWarning_; trimSheetToColumnCount_,SpreadsheetApp,,Private/helper,Reachable,Medium
getFrameworkTimingSectionForId_,sectionId,2281,2288,getFrameworkTimingDetailRows_; getFrameworkTimingDetailStartRow_; replaceFrameworkTimingSectionRows_; styleFrameworkTimingReport_,getFrameworkTimingSectionRegistry_,,,Private/helper,Reachable,Low
replaceFrameworkTimingSectionRows_,"sheet, sectionId, rows, options",2289,2333,appendRuntimeTimingToFrameworkTimingReport_; writeCombinedFrameworkTimingReport_,findFrameworkTimingSectionRow_; findNextFrameworkTimingSectionRow_; getFrameworkTimingSectionForId_; hasFrameworkTimingReportShell_; normalizeSectionRowForWidth_; rebuildFrameworkTimingReportShellCompact_; styleFrameworkTimingReport_,,clearContent; deleteRows; setValues,Private/helper,Reachable,High
getFrameworkTimingBenchmarkForProcess_,"processName, mode",2334,2351,buildFrameworkTimingProcessSummaryRows_,,,,Private/helper,Reachable,Low
getFrameworkTimingThresholdForSeverity_,severity,2352,2359,buildFrameworkTimingIssueRows_,,,,Private/helper,Reachable,Low
ensureFrameworkTimingReportShell_,sheet,2360,2368,,hasFrameworkTimingReportShell_; rebuildFrameworkTimingReportShellCompact_,,,Private/helper,No static path,Low
getFrameworkTimingDetailStartRow_,sheet,2369,2375,,findFrameworkTimingSectionRow_; getFrameworkTimingSectionForId_,,,Private/helper,No static path,Low
getFrameworkTimingDetailRows_,sheet,2376,2399,appendRuntimeTimingToFrameworkTimingReport_; collectDashboardQualityPerformanceSummaryRows_; writeCombinedFrameworkTimingReport_,findFrameworkTimingSectionRow_; findNextFrameworkTimingSectionRow_; getFrameworkTimingSectionForId_,,,Private/helper,Reachable,Low
getLatestFrameworkTimingRowsByProcess_,detailRows,2400,2420,collectDashboardQualityPerformanceSummaryRows_,,,,Private/helper,No static path,Low
getFrameworkTimingBenchmarkSeverity_,"runtime, benchmark",2421,2430,buildFrameworkTimingProcessSummaryRows_,,,,Private/helper,Reachable,Low
getFrameworkTimingModeForStep_,stepText,2431,2439,buildFrameworkTimingProcessSummaryRows_,,,,Private/helper,Reachable,Low
mergeFrameworkTimingModes_,"current, next",2440,2444,buildFrameworkTimingProcessSummaryRows_,,,,Private/helper,Reachable,Low
buildFrameworkTimingProcessSummaryRows_,detailRows,2445,2522,collectDashboardQualityPerformanceSummaryRows_; writeCombinedFrameworkTimingReport_,formatTimingTimestampForSummary_; getFrameworkTimingBenchmarkForProcess_; getFrameworkTimingBenchmarkSeverity_; getFrameworkTimingModeForStep_; mergeFrameworkTimingModes_; worseTimingSeverity_,,sort,Private/helper,Reachable,High
formatTimingTimestampForSummary_,value,2523,2532,buildFrameworkTimingProcessSummaryRows_,,Session; Utilities,,Private/helper,Reachable,Medium
buildFrameworkTimingIssueRows_,"detailRows, processRows",2533,2562,writeCombinedFrameworkTimingReport_,getFrameworkTimingThresholdForSeverity_; getPerformanceRecommendationForTimingStep_,,,Private/helper,Reachable,Low
buildFrameworkTimingRecommendationRows_,issueRows,2563,2579,writeCombinedFrameworkTimingReport_,,,,Private/helper,Reachable,Low
writeFrameworkPerformanceRecommendationsSheet_,,2580,2583,writeFrameworkTimingPerformanceRecommendations,writeCombinedFrameworkTimingReport_,,,Private/helper,No static path,Low
getPerformanceRecommendationForTimingStep_,"process, step, seconds, severity",2584,2623,buildFrameworkTimingIssueRows_,,,,Private/helper,Reachable,Low
worseTimingSeverity_,"current, next",2624,2630,buildFrameworkTimingProcessSummaryRows_; collectDashboardQualityPerformanceSummaryRows_,,,,Private/helper,Reachable,Low
appendRuntimeTimingToFrameworkTimingReport_,timing,2631,2656,writeFrameworkTimingReportBestEffort_; writeRuntimeTimingReportBestEffort_,ensureFrameworkTimingReport_; getFrameworkTimingDetailRows_; getFrameworkTimingRetentionLimit_; getRuntimeTimingSeverity_; logBestEffortWarning_; replaceFrameworkTimingSectionRows_,,,Private/helper,Reachable,Low
formatSeconds_,seconds,2657,2665,createMasterList; logRuntimeTiming_; markRuntimeStep_; updateMasterListForMonth_,,,,Private/helper,Reachable,Low
refreshFrameworkTimingReport,,2666,2669,,writeConsolidatedTimingSummaryReport_,,,Public,No static path,Low
writeFrameworkTimingPerformanceRecommendations,,2670,2673,,writeFrameworkPerformanceRecommendationsSheet_,,,Public,No static path,Low
onOpen,,2726,2801,,,SpreadsheetApp,,Public,Reachable,Medium
isFrameworkTimingEnabled_,,2802,2811,runFrameworkTimed_; toggleFrameworkTiming,logBestEffortWarning_,PropertiesService,,Private/helper,Reachable,Medium
toggleFrameworkTiming,,2812,2819,,isFrameworkTimingEnabled_; notify_,PropertiesService,,Public,Reachable,Medium
hideTemplates_,,2820,2823,,hideReportTemplates,,,Private/helper,Reachable,Low
showTemplates_,,2824,2827,,showReportTemplates,,,Private/helper,Reachable,Low
hideSystemSheets_,,2828,2831,,hideSystemSheetsNow,,,Private/helper,Reachable,Low
showSystemSheets_,,2832,2835,,showSystemSheetsNow,,,Private/helper,Reachable,Low
formatDashboard,,2836,2839,,rebuildFormatDashboardDefaults,,,Public,Reachable,Low
saveActiveLayoutToDashboardSettings,,2840,2878,,captureActiveSheetLayoutSnapshot_; isSystemOrTestingSheet_; loadDashboardConfig_; markFrameworkStep_; notify_; resolveSheetDefinitionForLayoutSnapshot_; runFrameworkTimed_; saveFormatDashboardConfigChanges_; upsertDashboardColumnDefinitionRows_; upsertDashboardSheetDefinitionBaseColor_; writeDashboardLayoutSnapshotSection_,SpreadsheetApp,,Public,Reachable,Medium
saveFormatDashboardConfigChanges_,"dashboardSheet, timing",2879,2891,saveActiveLayoutToDashboardSettings,clearDashboardConfigCache_; loadDashboardConfig_; markFrameworkStep_; styleDashboard_,SpreadsheetApp,,Private/helper,Reachable,Medium
resolveSheetDefinitionForLayoutSnapshot_,"dashboard, sheet",2892,2907,saveActiveLayoutToDashboardSettings,getSheetTypeForOrganization_; normalizeDashboardSheetTypeKey_,,,Private/helper,Reachable,Low
captureActiveSheetLayoutSnapshot_,"sheet, sheetDef, dashboard",2911,2963,saveActiveLayoutToDashboardSettings,getDefaultLayoutSnapshotBorderConfig_; getHiddenColumnFlags_; getThemeColorsFromBase_; isDateNumberFormat_; loadGlobalSettings_; normalizeHex_; numberOrDefault_,,,Private/helper,Reachable,Low
getHiddenColumnFlags_,"sheet, lastCol",2964,2971,captureActiveSheetLayoutSnapshot_,,,,Private/helper,Reachable,Low
isDateNumberFormat_,format,2972,2976,captureActiveSheetLayoutSnapshot_,,,,Private/helper,Reachable,Low
getDefaultLayoutSnapshotBorderConfig_,globals,2977,2989,captureActiveSheetLayoutSnapshot_,normalizeHex_,,,Private/helper,Reachable,Low
upsertDashboardSheetDefinitionBaseColor_,"dashboardSheet, sheetType, baseColor",2990,3013,saveActiveLayoutToDashboardSettings,getDashboardSectionBounds_; normalizeDashboardSheetTypeKey_,,setValues,Private/helper,Reachable,High
upsertDashboardColumnDefinitionRows_,"dashboardSheet, columnRows",3014,3050,saveActiveLayoutToDashboardSettings,ensureDashboardSectionDataCapacity_; getDashboardSectionBounds_; normalizeHeader_; normalizeSectionRowForWidth_,,clearContent; setValues,Private/helper,Reachable,High
getDashboardSectionBounds_,"dashboardSheet, sectionName",3051,3078,upsertDashboardColumnDefinitionRows_; upsertDashboardSheetDefinitionBaseColor_; writeDashboardLayoutSnapshotSection_,normalizeDashboardSectionTitle_,,,Private/helper,Reachable,Low
ensureDashboardSectionDataCapacity_,"dashboardSheet, bounds, requiredRows, width",3079,3094,upsertDashboardColumnDefinitionRows_,,,,Private/helper,Reachable,Low
writeDashboardLayoutSnapshotSection_,"dashboardSheet, snapshot",3095,3135,saveActiveLayoutToDashboardSettings,applyLayoutSnapshotBorder_; getDashboardSectionBounds_; normalizeDashboardSheetTypeKey_; normalizeSectionRowForWidth_,SpreadsheetApp,clearContent; setValues,Private/helper,Reachable,High
applyLayoutSnapshotBorder_,"range, borderConfig",3136,3149,writeDashboardLayoutSnapshotSection_,,SpreadsheetApp,,Private/helper,Reachable,Medium
clearDiagnosticsAndTimingLogs,,3150,3166,,markFrameworkStep_; notify_; runFrameworkTimed_,SpreadsheetApp,clearContent,Public,Reachable,High
clearDashboardConfigCache_,,3255,3260,saveFormatDashboardConfigChanges_; setupReportFormattingDashboardFromScriptDefaults_,,,,Private/helper,Reachable,Low
getDashboardConfigCacheKey_,,3261,3277,loadDashboardConfig_,,SpreadsheetApp,,Private/helper,Reachable,Medium
getFormatDashboardSectionNames_,,3278,3289,,,,,Private/helper,No static path,Low
getRequiredFrameworkSheetTypes_,,3290,3302,sortSheetDefinitionsByProductionOrder_,,,,Private/helper,Reachable,Low
getDefaultGlobalSettingsRows_,,3303,3368,writeDashboardDefaultsFast_,,,,Private/helper,Reachable,Low
getDefaultTitleRowRows_,,3369,3377,getTitleRowConfigForSheet_; loadTitleRows_; writeDashboardDefaultsFast_,,,,Private/helper,Reachable,Low
getDefaultSheetDefinitionRows_,,3378,3390,getDefaultSheetDefinitionRowsWithColumnCounts_,,,,Private/helper,Reachable,Low
getDefaultSheetDefinitionRowsWithColumnCounts_,,3391,3405,writeDashboardDefaultsFast_,getDefaultSheetDefinitionRows_; getDefaultSheetHeaderRows_; normalizeDashboardSheetTypeKey_; numberOrDefault_,,,Private/helper,Reachable,Low
getDefaultBehaviorRows_,,3406,3418,writeDashboardDefaultsFast_,,,,Private/helper,Reachable,Low
getDefaultSystemSurfaceRows_,,3419,3427,writeDashboardDefaultsFast_,,,,Private/helper,Reachable,Low
getDefaultSheetHeaderRows_,,3428,3443,getDefaultSheetDefinitionRowsWithColumnCounts_; writeDashboardDefaultsFast_,getDefaultHeaderSets_,,,Private/helper,Reachable,Low
getDefaultHeaderSets_,,3444,3774,getAllUniqueHeaders_; getDefaultSheetHeaderRows_; getMasterListTemplateHeaders_,h_,,,Private/helper,Reachable,Low
createOrRefreshAllReportTemplates,,3781,3820,quickBuildAllTemplates,createOrRefreshTemplateFromDashboard_; ensureGoldenMasterTemplate_; loadDashboardConfig_; logBestEffortWarning_; markFrameworkStep_; runFrameworkTimed_; sortSheetDefinitionsByProductionOrder_; summarizeTemplateRefreshModes_,,,Public,Reachable,Low
ensureGoldenMasterTemplate_,"dashboard, timing",3821,3859,createOrRefreshAllReportTemplates; createOrRefreshTemplateFromDashboard_; initializeSystemSheets_,hideSheetIfNeeded_; logBestEffortWarning_; markFrameworkStep_; resizeSheetGrid_; safeSetRowHeights_; toWrapStrategy_,SpreadsheetApp,insertSheet,Private/helper,Reachable,High
summarizeTemplateRefreshModes_,templateResults,3860,3870,createOrRefreshAllReportTemplates,,,sort,Private/helper,Reachable,High
hideReportTemplates,"dashboardOverride, timing",3871,3877,createMasterList; hideTemplates_,loadDashboardConfig_; runFrameworkTimed_; setReportTemplateVisibility_,,,Public,Reachable,Low
showReportTemplates,"dashboardOverride, timing",3878,3884,showTemplates_,loadDashboardConfig_; runFrameworkTimed_; setReportTemplateVisibility_,,,Public,Reachable,Low
setReportTemplateVisibility_,"dashboard, hidden, timing",3885,3917,hideReportTemplates; showReportTemplates,hideSheetIfNeeded_; markFrameworkStep_; showSheetIfNeeded_; sortSheetDefinitionsByProductionOrder_,SpreadsheetApp,,Private/helper,Reachable,Medium
validateReportTemplates,,3918,3925,,loadDashboardConfig_; markFrameworkStep_; runFrameworkTimed_; validateReportTemplatesCore_,,,Public,Reachable,Low
validateReportTemplatesCore_,"dashboard, timing, options",3926,3935,runDashboardQualityTemplateAndFormatSections_; validateReportTemplates,loadDashboardConfig_; markFrameworkStep_; sortSheetDefinitionsByProductionOrder_; validateTemplateFromDashboard_; writeTemplateValidationReport_,,,Private/helper,Reachable,Low
loadDashboardConfig_,forceRefresh,3936,3980,appendDisenrolledDeltasToExclusionSheet_; applyCurrentVsOlderTabColors_; applyDashboardQualityReportColumnSettings_; applyDashboardSortOrderAlternatingColors_; applyDemoPTemplateToSheet_; applyGlobalDefaultRowHeightsToSheet_; applyIndexSheetRowFills_; applyOutputVisibilityPolicy_; applyStandardFormatting_; buildMasterListHeadersBeforeDataCopy_; buildMonthlyChangeReportForMonth_; createActiveDemoPFromRawData_; createDisenrolledExclusionSheetFromDashboardTemplate_; createIndexSheet; createMasterListSheetFromTemplate_; createOrRefreshAllReportTemplates; createOrRefreshDemoPTemplate_; createOrRefreshMasterListTemplate_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; enforceDemoPPostFlattenFormatting_; enforceDemoPStrictDashboardSchema_; formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyBannerSheet_; formatMonthlyChangeReportSectionSheet_; formatMonthlyChangeSubsectionBlock; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; formatRawData; getOrBuildMonthlyChangeReport_; hideReportTemplates; initializeSystemSheets_; loadGlobalSettings_; lockFinalOutputRowHeights_; organizeWorkbookTabs_; populateMonthlyChangeReportSections_; rebuildProductionMonthlyChangeTemplate; repairAllTemplateDateFormats; runDashboardQualityTemplateAndFormatSections_; saveActiveLayoutToDashboardSettings; saveFormatDashboardConfigChanges_; showReportTemplates; trimOutputSheetToDataSize_; updateExistingDemoPFromRawData_; validateReportTemplates; validateReportTemplatesCore_,buildDashboardSectionIndex_; getDashboardConfigCacheKey_; loadColumnDefinitions_; loadGlobalSettings_; loadSheetBehaviors_; loadSheetDefinitions_; loadSheetHeaders_; loadTitleRows_,SpreadsheetApp,,Private/helper,Reachable,Medium
buildDashboardSectionIndex_,sheet,3981,4002,loadDashboardConfig_; readDashboardSectionRows_; runDashboardQualityDashboardVerificationSections_,normalizeDashboardSectionTitle_,,,Private/helper,Reachable,Low
loadGlobalSettings_,sheet,4003,4047,captureActiveSheetLayoutSnapshot_; loadDashboardConfig_; trimOutputSheetToDataSize_,loadDashboardConfig_; normalizeHex_; numberOrDefault_; readDashboardSectionRows_,,,Private/helper,Reachable,Low
loadTitleRows_,"sheet, globals",4048,4082,loadDashboardConfig_,getDefaultTitleRowRows_; normalizeDashboardSheetTypeKey_; numberOrDefault_; parseTitleRowConfigRow_; readDashboardSectionRows_,,,Private/helper,Reachable,Low
parseTitleRowConfigRow_,"row, globals, base",4083,4108,ensureTitleRowConfig_; getTitleRowConfigForSheet_; loadTitleRows_,normalizeTitleTargetCell_; numberOrDefault_,,,Private/helper,Reachable,Low
normalizeTitleTargetCell_,"value, rowNumber",4109,4114,ensureTitleRowConfig_; parseTitleRowConfigRow_,,,,Private/helper,Reachable,Low
getTitleRowConfigForSheet_,"dashboard, sheetDef, rowNumber",4115,4122,applyHeaderRow_; applyTitleRows_,getDefaultTitleRowRows_; normalizeDashboardSheetTypeKey_; parseTitleRowConfigRow_,,,Private/helper,Reachable,Low
getThemeFillForTitleRow_,"theme, fillLevel",4123,4130,applyHeaderRow_; applyTitleRows_,,,,Private/helper,Reachable,Low
toWrapStrategy_,value,4131,4137,applyHeaderRow_; applyTemplateBaseFormatting_; applyTitleRows_; ensureGoldenMasterTemplate_,,SpreadsheetApp,,Private/helper,Reachable,Medium
loadSheetDefinitions_,sheet,4138,4165,loadDashboardConfig_,isBlankCell_; normalizeDashboardSheetTypeKey_; normalizeHex_; numberOrDefault_; parseBoolean_; readDashboardSectionRows_,,,Private/helper,Reachable,Low
loadSheetHeaders_,sheet,4166,4199,loadDashboardConfig_,normalizeDashboardSheetTypeKey_; normalizeHeader_; numberOrDefault_; readDashboardSectionRows_,,sort,Private/helper,Reachable,High
loadColumnDefinitions_,sheet,4200,4226,loadDashboardConfig_,isBlankCell_; normalizeHeader_; numberOrDefault_; parseBoolean_; readDashboardSectionRows_,,,Private/helper,Reachable,Low
loadSheetBehaviors_,sheet,4227,4250,loadDashboardConfig_,normalizeDashboardSheetTypeKey_; parseBoolean_; readDashboardSectionRows_,,,Private/helper,Reachable,Low
normalizeDashboardSectionTitle_,value,4251,4258,buildDashboardSectionIndex_; getDashboardSectionBounds_; readDashboardSectionRows_,,,,Private/helper,Reachable,Low
readDashboardSectionRows_,"source, sectionName",4259,4302,collectFormatDashboardColumnDefinitionVerificationRows_; collectFormatDashboardGlobalInputVerificationRows_; collectFormatDashboardSheetBehaviorVerificationRows_; collectFormatDashboardSheetDefinitionVerificationRows_; collectFormatDashboardSheetHeaderVerificationRows_; collectFormatDashboardTitleRowsVerificationRows_; loadColumnDefinitions_; loadGlobalSettings_; loadSheetBehaviors_; loadSheetDefinitions_; loadSheetHeaders_; loadTitleRows_,buildDashboardSectionIndex_; normalizeDashboardSectionTitle_,,,Private/helper,Reachable,Low
getBehaviorForSheetType_,"dashboard, sheetType",4303,4309,applyDashboardTemplateFormattingToActiveReportSheet_; applyDemoPTemplateToSheet_; applyGovernedAlternatingColorsIfEnabled_; applyOutputVisibilityPolicy_; createDisenrolledExclusionSheetFromDashboardTemplate_; createOrRefreshTemplateFromDashboard_; validateTemplateFromDashboard_,getDefaultBehavior_; normalizeDashboardSheetTypeKey_,,,Private/helper,Reachable,Low
createOrRefreshTemplateFromDashboard_,"dashboard, sheetDef, timing",4310,4381,createOrRefreshAllReportTemplates; createOrRefreshDemoPTemplate_; createOrRefreshMasterListTemplate_,buildTemplateFormatSignature_; buildTemplateFromDashboardSafely_; buildTemplateFromDashboard_; buildTemplateRefreshDecisionMessage_; ensureGoldenMasterTemplate_; getBehaviorForSheetType_; getHeadersForSheetType_; getStoredTemplateFormatSignatureFromSheet_; getStoredTemplateFormatSignature_; markFrameworkStep_; normalizeTemplateFormatSignature_; refreshTemplateMetadataOnly_; resolveTemplateRowCount_; shouldUseStagedTemplateBuild_,SpreadsheetApp,copyTo,Private/helper,Reachable,High
shouldUseStagedTemplateBuild_,"sheetDef, templateExisted",4382,4388,createOrRefreshTemplateFromDashboard_,,,,Private/helper,Reachable,Low
