Function name,Start line,End line,Function type,Primary responsibility,Module or logical ownership,Functions called,Functions calling it (determinable),Dependencies,External services used,Sheets accessed,Configuration objects referenced,Dashboard components referenced,Read operations,Write operations,Destructive operations,Trigger usage,Error handling,Logging,Complexity assessment
summarizeTemplateRefreshModes_,4031,4040,Formatter; Internal/private,Implement summarize template refresh modes,Template governance,None detected,createOrRefreshAllReportTemplates,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 10, branches 0)"
getDashboardConfigForTemplateVisibility_,4042,4050,Formatter; Dashboard; Configuration; Internal/private; Utility,Resolve or return dashboard config for template visibility,Format Dashboard governance,loadDashboardConfig_; logBestEffortWarning_,hideReportTemplates; showReportTemplates,loadDashboardConfig_; logBestEffortWarning_,None detected,Template visibility dashboard config unavailable; using workbook Template - sheet scan only: ,None detected,Template visibility dashboard config unavailable; using workbook Template - sheet scan only: ,None detected,None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 9, branches 2)"
hideReportTemplates,4052,4057,Public entry point; Formatter,Hide report templates,Template governance,getDashboardConfigForTemplateVisibility_; runFrameworkTimed_; setReportTemplateVisibility_,createMasterListForMonth_; hideTemplates_,getDashboardConfigForTemplateVisibility_; runFrameworkTimed_; setReportTemplateVisibility_,None detected,Hide Report Templates,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 1)"
showReportTemplates,4059,4064,Public entry point; Formatter,Show report templates,Template governance,getDashboardConfigForTemplateVisibility_; runFrameworkTimed_; setReportTemplateVisibility_,showTemplates_,getDashboardConfigForTemplateVisibility_; runFrameworkTimed_; setReportTemplateVisibility_,None detected,Show Report Templates,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 1)"
setReportTemplateVisibility_,4066,4099,Formatter; Internal/private; Utility,Set report template visibility,Template governance,forceBaseTemplateHidden_; hideSheetIfNeeded_; markFrameworkStep_; showSheetIfNeeded_; sortSheetDefinitionsByProductionOrder_,createOrRefreshAllReportTemplates; hideReportTemplates; showReportTemplates,RFF_BASE_TEMPLATE_NAME; forceBaseTemplateHidden_; hideSheetIfNeeded_; markFrameworkStep_; showSheetIfNeeded_; sortSheetDefinitionsByProductionOrder_,SpreadsheetApp,).indexOf(; All template sheets successfully hidden; All template sheets successfully shown; Hide orphan template sheet: ; Hide template sheet: ; Show orphan template sheet: ; Show template sheet: ; RFF_BASE_TEMPLATE_NAME,RFF_BASE_TEMPLATE_NAME,None detected,getActiveSpreadsheet(); getSheets(),None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 34, branches 7)"
validateReportTemplates,4101,4107,Public entry point; Formatter; Validator,Validate report templates,Template governance,loadDashboardConfig_; markFrameworkStep_; runFrameworkTimed_; validateReportTemplatesCore_,No static caller detected,loadDashboardConfig_; markFrameworkStep_; runFrameworkTimed_; validateReportTemplatesCore_,None detected,Dashboard loaded; Validate Templates,None detected,Dashboard loaded,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 7, branches 0)"
validateReportTemplatesCore_,4109,4117,Formatter; Validator; Internal/private,Validate report templates core,Template governance,loadDashboardConfig_; markFrameworkStep_; sortSheetDefinitionsByProductionOrder_; validateTemplateFromDashboard_; writeTemplateValidationReport_,runDashboardQualityTemplateAndFormatSections_; validateReportTemplates,loadDashboardConfig_; markFrameworkStep_; sortSheetDefinitionsByProductionOrder_; validateTemplateFromDashboard_; writeTemplateValidationReport_,None detected,Dashboard Quality Section G saved; Dashboard Quality Section G staged,None detected,Dashboard Quality Section G saved; Dashboard Quality Section G staged,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 9, branches 1)"
loadDashboardConfig_,4119,4175,Dashboard; Configuration; Internal/private,Implement load dashboard config,Format Dashboard governance,buildDashboardSectionIndex_; getDashboardConfigCacheKey_; getRuntimeCache_; loadColumnDefinitions_; loadGlobalSettings_; loadSheetBehaviors_; loadSheetDefinitions_; loadSheetHeaders_; loadTabOrganization_; loadTitleRows_,applyDashboardQualityReportColumnSettings_; applyDashboardSortOrderAlternatingColors_; applyDemoPTemplateToSheet_; applyGlobalDefaultRowHeightsToSheet_; applyOutputVisibilityPolicy_; buildMonthlyChangeReportForMonth_; createIndexSheet; createOrRefreshAllReportTemplates; createOrRefreshDemoPTemplate_; createOrRefreshMasterListTemplate_; formatMonthlyChangeReportSectionSheet_; formatMonthlyChangeSubsectionBlock; formatRawDataInPlaceSheet_; getDashboardConfigForTemplateVisibility_; getTabOrganizationProfilesForSort_; initializeSystemSheets_; loadGlobalSettings_; lockFinalOutputRowHeights_; populateMonthlyChangeReportSections_; rebuildProductionMonthlyChangeTemplate; repairAllTemplateDateFormats; runDashboardQualityTemplateAndFormatSections_; saveActiveLayoutToDashboardSettings; saveFormatDashboardConfigChanges_; validateReportTemplates; validateReportTemplatesCore_,RFF_DASHBOARD_SHEET; buildDashboardSectionIndex_; getDashboardConfigCacheKey_; getRuntimeCache_; loadColumnDefinitions_; loadGlobalSettings_; loadSheetBehaviors_; loadSheetDefinitions_; loadSheetHeaders_; loadTabOrganization_; loadTitleRows_,SpreadsheetApp,Format Dashboard is missing. Run Setup / Refresh Dashboard first.; RFF_DASHBOARD_SHEET,RFF_DASHBOARD_SHEET,Format Dashboard is missing. Run Setup / Refresh Dashboard first.,getSheetByName(),None detected,None detected,None detected,try/catch,None detected,"Low (LOC 57, branches 4)"
buildDashboardSectionIndex_,4177,4197,Dashboard; Internal/private,Build dashboard section index,Format Dashboard governance,normalizeDashboardSectionTitle_,loadDashboardConfig_; readDashboardSectionRows_; runDashboardQualityDashboardVerificationSections_,RFF_DASHBOARD_CONFIG_MAX_READ_COLS; normalizeDashboardSectionTitle_,None detected,RFF_DASHBOARD_CONFIG_MAX_READ_COLS,RFF_DASHBOARD_CONFIG_MAX_READ_COLS,SECTION ,getLastColumn(); getLastRow(); getRange(); getValues(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 21, branches 2)"
loadGlobalSettings_,4199,4242,Configuration; Internal/private,Implement load global settings,Shared framework utilities,loadDashboardConfig_; normalizeHex_; numberOrDefault_; readDashboardSectionRows_,captureActiveSheetLayoutSnapshot_; loadDashboardConfig_,RFF_DEFAULTS; RFF_SECTION_GLOBAL; loadDashboardConfig_; normalizeHex_; numberOrDefault_; readDashboardSectionRows_,None detected,Template Version,RFF_DEFAULTS; RFF_SECTION_GLOBAL,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 44, branches 1)"
loadTitleRows_,4244,4277,Internal/private,Implement load title rows,Shared framework utilities,getDefaultTitleRowRows_; normalizeDashboardSheetTypeKey_; numberOrDefault_; parseTitleRowConfigRow_; readDashboardSectionRows_,loadDashboardConfig_,RFF_SECTION_TITLE_ROWS; getDefaultTitleRowRows_; normalizeDashboardSheetTypeKey_; numberOrDefault_; parseTitleRowConfigRow_; readDashboardSectionRows_,None detected,None detected,RFF_SECTION_TITLE_ROWS,None detected,None detected,None detected,None detected,None detected,try/catch,None detected,"Low (LOC 34, branches 5)"
parseTitleRowConfigRow_,4279,4303,Configuration; Internal/private; Utility,Implement parse title row config row,Shared framework utilities,normalizeTitleTargetCell_; numberOrDefault_,ensureTitleRowConfig_; getTitleRowConfigForSheet_; loadTitleRows_,RFF_DEFAULTS; normalizeTitleTargetCell_; numberOrDefault_,None detected,None detected,RFF_DEFAULTS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 25, branches 2)"
normalizeTitleTargetCell_,4305,4309,Internal/private; Utility,Implement normalize title target cell,Shared framework utilities,None detected,ensureTitleRowConfig_; parseTitleRowConfigRow_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 1)"
getTitleRowConfigForSheet_,4311,4317,Configuration; Internal/private; Utility,Resolve or return title row config for sheet,Sheet utilities,getDefaultTitleRowRows_; normalizeDashboardSheetTypeKey_; parseTitleRowConfigRow_,applyHeaderRow_; applyTitleRows_,getDefaultTitleRowRows_; normalizeDashboardSheetTypeKey_; parseTitleRowConfigRow_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 1)"
getThemeFillForTitleRow_,4319,4325,Internal/private; Utility,Resolve or return theme fill for title row,Shared framework utilities,None detected,applyHeaderRow_; applyTitleRows_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 3)"
toWrapStrategy_,4327,4332,Internal/private; Utility,Implement to wrap strategy,Shared framework utilities,None detected,applyHeaderRow_; applyTemplateBaseFormatting_; applyTitleRows_; ensureGoldenMasterTemplate_,None detected,SpreadsheetApp,") return SpreadsheetApp.WrapStrategy.WRAP;
  if (normalized === ",None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 2)"
loadSheetDefinitions_,4334,4360,Internal/private,Implement load sheet definitions,Sheet utilities,isBlankCell_; normalizeDashboardSheetTypeKey_; normalizeHex_; numberOrDefault_; parseBoolean_; readDashboardSectionRows_,loadDashboardConfig_,RFF_DEFAULTS; RFF_SECTION_SHEETS; isBlankCell_; normalizeDashboardSheetTypeKey_; normalizeHex_; numberOrDefault_; parseBoolean_; readDashboardSectionRows_,None detected,").trim(),
        templateName: String(row[2] || (; RFF_SECTION_SHEETS",RFF_DEFAULTS; RFF_SECTION_SHEETS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 27, branches 2)"
loadTabOrganization_,4362,4382,Internal/private,Implement load tab organization,Shared framework utilities,getDefaultTabOrganizationRows_; logBestEffortWarning_; numberOrDefault_; readDashboardSectionRows_,loadDashboardConfig_,RFF_SECTION_TAB_ORGANIZATION; getDefaultTabOrganizationRows_; logBestEffortWarning_; numberOrDefault_; readDashboardSectionRows_,None detected,None detected,RFF_SECTION_TAB_ORGANIZATION,None detected,None detected,None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 21, branches 2)"
getDefaultTabOrganizationProfiles_,4384,4393,Configuration; Internal/private; Utility,Resolve or return default tab organization profiles,Shared framework utilities,getDefaultTabOrganizationRows_; numberOrDefault_,getTabOrganizationProfilesForSort_,getDefaultTabOrganizationRows_; numberOrDefault_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 10, branches 0)"
getTabOrganizationProfilesForSort_,4395,4403,Internal/private; Utility,Resolve or return tab organization profiles for sort,Shared framework utilities,getDefaultTabOrganizationProfiles_; loadDashboardConfig_; logBestEffortWarning_,getSheetSortProfileByName_,getDefaultTabOrganizationProfiles_; loadDashboardConfig_; logBestEffortWarning_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 9, branches 2)"
loadSheetHeaders_,4405,4437,Internal/private,Implement load sheet headers,Sheet utilities,normalizeDashboardSheetTypeKey_; normalizeHeader_; numberOrDefault_; readDashboardSectionRows_,loadDashboardConfig_,RFF_SECTION_HEADERS; normalizeDashboardSheetTypeKey_; normalizeHeader_; numberOrDefault_; readDashboardSectionRows_,None detected,None detected,RFF_SECTION_HEADERS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 33, branches 2)"
loadColumnDefinitions_,4439,4464,Internal/private,Implement load column definitions,Shared framework utilities,isBlankCell_; normalizeHeader_; numberOrDefault_; parseBoolean_; readDashboardSectionRows_,loadDashboardConfig_,RFF_SECTION_COLUMNS; isBlankCell_; normalizeHeader_; numberOrDefault_; parseBoolean_; readDashboardSectionRows_,None detected,None detected,RFF_SECTION_COLUMNS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 26, branches 3)"
loadSheetBehaviors_,4466,4488,Internal/private,Implement load sheet behaviors,Sheet utilities,normalizeDashboardSheetTypeKey_; parseBoolean_; readDashboardSectionRows_,loadDashboardConfig_,RFF_SECTION_BEHAVIORS; normalizeDashboardSheetTypeKey_; parseBoolean_; readDashboardSectionRows_,None detected,None detected,RFF_SECTION_BEHAVIORS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 23, branches 1)"
normalizeDashboardSectionTitle_,4490,4496,Dashboard; Internal/private; Utility,Implement normalize dashboard section title,Format Dashboard governance,None detected,buildDashboardSectionIndex_; getDashboardSectionBounds_; getFormatDashboardSectionHeaderForChangelog_; readDashboardSectionRows_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 1)"
readDashboardSectionRows_,4498,4540,Dashboard; Internal/private,Implement read dashboard section rows,Format Dashboard governance,buildDashboardSectionIndex_; normalizeDashboardSectionTitle_,collectFormatDashboardColumnDefinitionVerificationRows_; collectFormatDashboardGlobalInputVerificationRows_; collectFormatDashboardSheetBehaviorVerificationRows_; collectFormatDashboardSheetDefinitionVerificationRows_; collectFormatDashboardSheetHeaderVerificationRows_; collectFormatDashboardTabOrganizationVerificationRows_; collectFormatDashboardTitleRowsVerificationRows_; loadColumnDefinitions_; loadGlobalSettings_; loadSheetBehaviors_; loadSheetDefinitions_; loadSheetHeaders_; loadTabOrganization_; loadTitleRows_; updateFormatDashboardChangelog_,buildDashboardSectionIndex_; normalizeDashboardSectionTitle_,None detected,Dashboard section missing: ,None detected,Dashboard section missing: ; SECTION ,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 43, branches 9)"
getBehaviorForSheetType_,4543,4547,Internal/private; Utility,Resolve or return behavior for sheet type,Sheet utilities,getDefaultBehavior_; normalizeDashboardSheetTypeKey_,applyDashboardTemplateFormattingToActiveReportSheet_; applyDemoPTemplateToSheet_; applyOutputVisibilityPolicy_; createOrRefreshTemplateFromDashboard_; validateTemplateFromDashboard_,getDefaultBehavior_; normalizeDashboardSheetTypeKey_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 1)"
createOrRefreshTemplateFromDashboard_,4549,4620,Formatter; Dashboard; Internal/private; Utility,Create or refresh template from dashboard,Format Dashboard governance,buildTemplateFormatSignature_; buildTemplateFromDashboardSafely_; buildTemplateFromDashboard_; buildTemplateRefreshDecisionMessage_; ensureGoldenMasterTemplate_; getBehaviorForSheetType_; getHeadersForSheetType_; getStoredTemplateFormatSignatureFromSheet_; getStoredTemplateFormatSignature_; markFrameworkStep_; normalizeTemplateFormatSignature_; placeCreatedSheetInConfiguredOrder_; refreshTemplateMetadataOnly_; resolveTemplateRowCount_; shouldUseStagedTemplateBuild_,createOrRefreshAllReportTemplates; createOrRefreshDemoPTemplate_; createOrRefreshMasterListTemplate_,RFF_BASE_TEMPLATE_NAME; RFF_FORCE_FULL_TEMPLATE_REBUILD; RFF_LAST_TEMPLATE_REFRESH_MODE_; RFF_SMART_TEMPLATE_REFRESH; RFF_TRUE_SMART_TEMPLATE_REFRESH; RFF_USE_TEMPLATE_SIGNATURE_CACHE; buildTemplateFormatSignature_; buildTemplateFromDashboardSafely_; buildTemplateFromDashboard_; buildTemplateRefreshDecisionMessage_; ensureGoldenMasterTemplate_; getBehaviorForSheetType_; getHeadersForSheetType_; getStoredTemplateFormatSignatureFromSheet_; getStoredTemplateFormatSignature_; markFrameworkStep_; normalizeTemplateFormatSignature_; placeCreatedSheetInConfiguredOrder_; refreshTemplateMetadataOnly_; resolveTemplateRowCount_; shouldUseStagedTemplateBuild_,SpreadsheetApp,Open/create sheet: ; Template signature matched - metadata refresh eligible: ; Template signature mismatch - full build required: ; Template timing mode: ; RFF_BASE_TEMPLATE_NAME; RFF_FORCE_FULL_TEMPLATE_REBUILD; RFF_LAST_TEMPLATE_REFRESH_MODE_; RFF_SMART_TEMPLATE_REFRESH; RFF_TRUE_SMART_TEMPLATE_REFRESH; RFF_USE_TEMPLATE_SIGNATURE_CACHE,RFF_BASE_TEMPLATE_NAME; RFF_FORCE_FULL_TEMPLATE_REBUILD; RFF_LAST_TEMPLATE_REFRESH_MODE_; RFF_SMART_TEMPLATE_REFRESH; RFF_TRUE_SMART_TEMPLATE_REFRESH; RFF_USE_TEMPLATE_SIGNATURE_CACHE,None detected,getActiveSpreadsheet(); getSheetByName(),copyTo(); setName(),None detected,None detected,None explicit,markFrameworkStep_,"Medium (LOC 72, branches 8)"
shouldUseStagedTemplateBuild_,4622,4627,Formatter; Internal/private,Implement should use staged template build,Template governance,None detected,createOrRefreshTemplateFromDashboard_,RFF_TEMPLATE_ALWAYS_STAGED_TEMPLATE_NAMES; RFF_TEMPLATE_STAGED_BUILD_ENABLED; RFF_TEMPLATE_STAGED_FIRST_BUILD_FOR_HIGH_RISK_ONLY,None detected,RFF_TEMPLATE_ALWAYS_STAGED_TEMPLATE_NAMES; RFF_TEMPLATE_STAGED_BUILD_ENABLED; RFF_TEMPLATE_STAGED_FIRST_BUILD_FOR_HIGH_RISK_ONLY,RFF_TEMPLATE_ALWAYS_STAGED_TEMPLATE_NAMES; RFF_TEMPLATE_STAGED_BUILD_ENABLED; RFF_TEMPLATE_STAGED_FIRST_BUILD_FOR_HIGH_RISK_ONLY,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 3)"
buildTemplateRefreshDecisionMessage_,4629,4645,Formatter; Internal/private; Utility,Build template refresh decision message,Template governance,None detected,createOrRefreshTemplateFromDashboard_,RFF_FORCE_FULL_TEMPLATE_REBUILD; RFF_SMART_TEMPLATE_REFRESH; RFF_TRUE_SMART_TEMPLATE_REFRESH; RFF_USE_TEMPLATE_SIGNATURE_CACHE,None detected,Template refresh decision: ; template sheet did not exist; RFF_FORCE_FULL_TEMPLATE_REBUILD; RFF_SMART_TEMPLATE_REFRESH; RFF_TRUE_SMART_TEMPLATE_REFRESH; RFF_USE_TEMPLATE_SIGNATURE_CACHE,RFF_FORCE_FULL_TEMPLATE_REBUILD; RFF_SMART_TEMPLATE_REFRESH; RFF_TRUE_SMART_TEMPLATE_REFRESH; RFF_USE_TEMPLATE_SIGNATURE_CACHE,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 17, branches 10)"
refreshTemplateMetadataOnly_,4647,4658,Formatter; Internal/private,Implement refresh template metadata only,Template governance,applyGovernedTextAndNumberFormats_; getHeadersForSheetType_; markFrameworkStep_; resolveTemplateRowCount_; storeTemplateFormatSignature_; writeTemplateMetadata_,createOrRefreshTemplateFromDashboard_,DATA_START_ROW; RFF_DEFAULTS; applyGovernedTextAndNumberFormats_; getHeadersForSheetType_; markFrameworkStep_; resolveTemplateRowCount_; storeTemplateFormatSignature_; writeTemplateMetadata_,None detected,Complete metadata-only template refresh: ; Metadata-only refresh; template unchanged: ,DATA_START_ROW; RFF_DEFAULTS,None detected,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 12, branches 0)"
buildTemplateFromDashboardSafely_,4660,4687,Formatter; Dashboard; Internal/private; Utility,Build template from dashboard safely,Format Dashboard governance,buildTemplateFromDashboard_; deleteSheetIfExists_; getTemplateBuildSheetName_; insertGovernedOutputSheet_; logBestEffortWarning_; markFrameworkStep_; promoteStagedTemplateBuild_; storeTemplateFormatSignature_; validateBuiltTemplateMinimumStructure_,createOrRefreshTemplateFromDashboard_,buildTemplateFromDashboard_; deleteSheetIfExists_; getTemplateBuildSheetName_; insertGovernedOutputSheet_; logBestEffortWarning_; markFrameworkStep_; promoteStagedTemplateBuild_; storeTemplateFormatSignature_; validateBuiltTemplateMinimumStructure_,SpreadsheetApp," + sheetDef.templateName + ; );


  const buildSheet = insertGovernedOutputSheet_(ss, tempName);
  markFrameworkStep_(timing, ; );
      buildSheet.showSheet();
    } catch (renameErr) {
      logBestEffortWarning_(; );
    try {
      buildSheet.setName(tempName + ; Staged template build promoted: ",None detected,None detected,getActiveSpreadsheet(); getSheetByName(),setName(); showSheet(),None detected,None detected,try/catch,markFrameworkStep_; logBestEffortWarning_,"Low (LOC 28, branches 4)"
getTemplateBuildSheetName_,4689,4691,Formatter; Internal/private; Utility,Resolve or return template build sheet name,Template governance,None detected,buildTemplateFromDashboardSafely_,None detected,None detected,Template,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
promoteStagedTemplateBuild_,4693,4703,Formatter; Internal/private,Implement promote staged template build,Template governance,deleteSheetSafely_; hideSheetIfNeeded_; markFrameworkStep_; placeCreatedSheetInConfiguredOrder_,buildTemplateFromDashboardSafely_,RFF_DEFER_TEMPLATE_HIDE_DURING_BATCH_; deleteSheetSafely_; hideSheetIfNeeded_; markFrameworkStep_; placeCreatedSheetInConfiguredOrder_,None detected,Hide promoted template: ; Previous template replaced after staged validation: ; staged template promotion; RFF_DEFER_TEMPLATE_HIDE_DURING_BATCH_,RFF_DEFER_TEMPLATE_HIDE_DURING_BATCH_,None detected,None detected,setName(),None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 11, branches 2)"
validateBuiltTemplateMinimumStructure_,4705,4721,Formatter; Validator; Internal/private,Validate built template minimum structure,Template governance,None detected,buildTemplateFromDashboardSafely_,RFF_DEFAULTS,None detected,Staged template frozen rows expected ; Staged template has ,RFF_DEFAULTS,None detected,getDisplayValues(); getFrozenRows(); getMaxColumns(); getRange(),None detected,None detected,None detected,throws errors,None detected,"Low (LOC 17, branches 4)"
buildTemplateFromDashboard_,4723,4775,Formatter; Dashboard; Internal/private; Utility,Build template from dashboard,Format Dashboard governance,applyGovernedTextAndNumberFormats_; applyTemplateBaseFormatting_; applyTemplateFreezeAndTabColor_; clearTemplateForFullBuild_; enforceTemplateDateAndNumberFormats_; getHeadersForSheetType_; hideTemplateIfNeeded_; markFrameworkStep_; resizeSheetGrid_; storeTemplateFormatSignature_; writeTemplateMetadata_,buildTemplateFromDashboardSafely_; createOrRefreshTemplateFromDashboard_,DATA_START_ROW; RFF_DEFER_TEMPLATE_HIDE_DURING_BATCH_; RFF_SKIP_DUPLICATE_TEMPLATE_FORMAT_ENFORCEMENT; applyGovernedTextAndNumberFormats_; applyTemplateBaseFormatting_; applyTemplateFreezeAndTabColor_; clearTemplateForFullBuild_; enforceTemplateDateAndNumberFormats_; getHeadersForSheetType_; hideTemplateIfNeeded_; markFrameworkStep_; resizeSheetGrid_; storeTemplateFormatSignature_; writeTemplateMetadata_,None detected,Apply full template formatting: ; Complete full template build: ; Create template fast path - clear skipped for blank sheet: ; Final date/number format enforcement skipped - already applied during template base formatting: ; Full template build required: ; Set template grid from dashboard: ; Template hide deferred until batch completion: ; Template remains visible: ; RFF_DEFER_TEMPLATE_HIDE_DURING_BATCH_; RFF_SKIP_DUPLICATE_TEMPLATE_FORMAT_ENFORCEMENT,DATA_START_ROW; RFF_DEFER_TEMPLATE_HIDE_DURING_BATCH_; RFF_SKIP_DUPLICATE_TEMPLATE_FORMAT_ENFORCEMENT,Set template grid from dashboard: ,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 53, branches 5)"
ensureSheetMinimumColumns_,4777,4783,Internal/private,Implement ensure sheet minimum columns,Sheet utilities,None detected,buildMasterListHeadersBeforeDataCopy_; ensureHeaders_,None detected,None detected,None detected,None detected,None detected,getMaxColumns(),insertColumnsAfter(),None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 1)"
clearTemplateForFullBuild_,4786,4809,Formatter; Internal/private,Implement clear template for full build,Template governance,logBestEffortWarning_; markFrameworkStep_,buildTemplateFromDashboard_,logBestEffortWarning_; markFrameworkStep_,None detected,Clear governed template range for full build: ; Create template fast path - clear skipped for new sheet: ; Template governed-range clear skipped for ,None detected,None detected,getMaxColumns(); getMaxRows(); getRange(),None detected,clearContent(); clearFormat(),None detected,try/catch,markFrameworkStep_; logBestEffortWarning_,"Low (LOC 24, branches 6)"
applyTemplateRowHeights_,4811,4815,Formatter; Internal/private,Implement apply template row heights,Template governance,markFrameworkStep_,applyTemplateBaseFormatting_,markFrameworkStep_,None detected, skipped for template: ,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 5, branches 1)"
lockFinalOutputRowHeights_,4817,4843,Formatter; Internal/private,Implement lock final output row heights,Shared framework utilities,applyRowHeightRuns_; loadDashboardConfig_; logBestEffortWarning_; safeSetRowHeights_; shouldLockExpandedDataRowHeights_,appendDisenrolledDeltasToExclusionSheet_; createMasterListForMonth_; enforceDemoPPostFlattenFormatting_; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_; formatRawDataInPlaceSheet_; processDemoP,DATA_START_ROW; HEADER_ROW; applyRowHeightRuns_; loadDashboardConfig_; logBestEffortWarning_; safeSetRowHeights_; shouldLockExpandedDataRowHeights_,None detected,None detected,DATA_START_ROW; HEADER_ROW,None detected,getLastRow(),None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 27, branches 4)"
shouldLockExpandedDataRowHeights_,4845,4852,Formatter; Internal/private,Implement should lock expanded data row heights,Shared framework utilities,None detected,lockFinalOutputRowHeights_,DEMO_P_PREFIX; MASTER_LIST_PREFIX; MONTHLY_CHANGE_REPORT_PREFIX,None detected,Disenrolled; DEMO_P_PREFIX; DISENROLLED_EXCLUSION_SHEET; MASTER_LIST_PREFIX; MONTHLY_CHANGE_REPORT_PREFIX,DEMO_P_PREFIX; MASTER_LIST_PREFIX; MONTHLY_CHANGE_REPORT_PREFIX,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 8, branches 0)"
applyGlobalDefaultRowHeightsToSheet_,4854,4863,Formatter; Configuration; Internal/private; Utility,Implement apply global default row heights to sheet,Sheet utilities,loadDashboardConfig_; logBestEffortWarning_; safeSetRowHeights_,createIndexSheet,loadDashboardConfig_; logBestEffortWarning_; safeSetRowHeights_,None detected,None detected,None detected,None detected,getMaxRows(),None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 10, branches 3)"
safeSetRowHeights_,4865,4896,Formatter; Internal/private,Implement safe set row heights,Shared framework utilities,logBestEffortWarning_,applyGlobalDefaultRowHeightsToSheet_; applyMonthlyChangeSpacerRow3Format_; applyRowHeightRuns_; ensureGoldenMasterTemplate_; lockFinalOutputRowHeights_; rebuildProductionMonthlyChangeTemplate,logBestEffortWarning_,None detected,None detected,None detected,None detected,getMaxRows(),None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 32, branches 9)"
applyRowHeightRuns_,4898,4903,Formatter; Internal/private,Implement apply row height runs,Shared framework utilities,safeSetRowHeights_,lockFinalOutputRowHeights_,safeSetRowHeights_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 1)"
hideTemplateIfNeeded_,4905,4918,Formatter; Internal/private,Hide template if needed,Template governance,hideSheetIfNeeded_; logBestEffortWarning_; markFrameworkStep_,buildTemplateFromDashboard_,hideSheetIfNeeded_; logBestEffortWarning_; markFrameworkStep_,None detected,Hide template skipped/error: ; Hide template: ; Template already hidden - skipped hide: ; Template hide skipped for ,None detected,None detected,None detected,None detected,None detected,None detected,try/catch,markFrameworkStep_; logBestEffortWarning_,"Low (LOC 14, branches 3)"
resolveTemplateRowCount_,4920,4936,Formatter; Internal/private,Implement resolve template row count,Template governance,numberOrDefault_,applyDashboardTemplateFormattingToActiveReportSheet_; createOrRefreshTemplateFromDashboard_; refreshTemplateMetadataOnly_; repairAllTemplateDateFormats; trimOutputSheetToDataSize_; validateTemplateFromDashboard_,RFF_DEFAULTS; numberOrDefault_,None detected,None detected,RFF_DEFAULTS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 17, branches 2)"
