function,line,category,public_like,trailing_underscore,menu_callback,trigger_callback,static_call_count,string_reference_count,recommendation
toWrapStrategy_,4231,internal_helper,FALSE,TRUE,FALSE,FALSE,5,1,Keep private-style name; no action unless consolidation is approved.
loadSheetDefinitions_,4238,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
loadSheetHeaders_,4266,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
loadColumnDefinitions_,4300,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
loadSheetBehaviors_,4327,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
normalizeDashboardSectionTitle_,4351,internal_helper,FALSE,TRUE,FALSE,FALSE,6,0,Keep private-style name; no action unless consolidation is approved.
readDashboardSectionRows_,4359,internal_helper,FALSE,TRUE,FALSE,FALSE,12,0,Keep private-style name; no action unless consolidation is approved.
getBehaviorForSheetType_,4404,internal_helper,FALSE,TRUE,FALSE,FALSE,6,0,Keep private-style name; no action unless consolidation is approved.
createOrRefreshTemplateFromDashboard_,4410,internal_helper,FALSE,TRUE,FALSE,FALSE,3,1,Keep private-style name; no action unless consolidation is approved.
shouldUseStagedTemplateBuild_,4483,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
shouldRefreshTemplateMetadataOnly_,4490,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
buildTemplateRefreshDecisionMessage_,4501,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
refreshTemplateMetadataOnly_,4519,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
buildTemplateFromDashboardSafely_,4532,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getTemplateBuildSheetName_,4561,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
promoteStagedTemplateBuild_,4565,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
validateBuiltTemplateMinimumStructure_,4578,diagnostic_or_validation_entry_point_review,FALSE,TRUE,FALSE,FALSE,1,0,Classify as supported diagnostic API or test-only entry point before renaming.
buildTemplateFromDashboard_,4596,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
shouldSkipTemplateResize_,4650,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
ensureSheetMinimumColumns_,4655,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
clearTemplateForFullBuild_,4664,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyTemplateRowHeights_,4689,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyFinalRowHeightLockForSheetType_,4695,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
lockFinalOutputRowHeights_,4699,internal_helper,FALSE,TRUE,FALSE,FALSE,9,0,Keep private-style name; no action unless consolidation is approved.
shouldLockExpandedDataRowHeights_,4727,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyGlobalDefaultRowHeightsToSheet_,4736,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
safeSetRowHeights_,4747,internal_helper,FALSE,TRUE,FALSE,FALSE,14,0,Keep private-style name; no action unless consolidation is approved.
applyRowHeightRuns_,4780,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
hideTemplateIfNeeded_,4787,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
resolveTemplateRowCount_,4802,internal_helper,FALSE,TRUE,FALSE,FALSE,7,0,Keep private-style name; no action unless consolidation is approved.
applyTemplateBaseFormatting_,4826,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
ensureTitleRowConfig_,4875,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
applyTitleRows_,4888,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
rowColToA1_,4941,internal_helper,FALSE,TRUE,FALSE,FALSE,9,0,Keep private-style name; no action unless consolidation is approved.
applyHeaderRow_,4952,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
applyColumnWidths_,4993,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
applyColumnWidthsInRuns_,5004,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyDateAndNumberFormats_,5040,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
enforceTemplateDateAndNumberFormats_,5044,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
enforceDateAndNumberFormatsForHeaders_,5049,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getExpectedNumberFormat_,5106,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getGoogleSheetsNumberFormat_,5113,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
isDateFormatText_,5132,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyHiddenColumnSettings_,5137,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
applyHiddenColumnSettingsInRuns_,5147,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyDataRows_,5183,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyAlternatingColorRules_,5209,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyMonthlyChangeSpacerRow3Format_,5236,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
formatMonthlyChangeSubsectionBlock_,5266,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
writeTemplateMetadata_,5312,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
buildTemplateFormatSignature_,5330,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
compactTemplateFormatSignature_,5363,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
normalizeTemplateFormatSignature_,5377,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
getTemplateFormatSignatureKey_,5386,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getStoredTemplateFormatSignature_,5392,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getStoredTemplateFormatSignatureFromSheet_,5401,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
storeTemplateFormatSignature_,5421,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
ensureTemplateFilter_,5429,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyTemplateFreezeAndTabColor_,5478,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
resizeSheet_,5516,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
resizeSheetGrid_,5541,internal_helper,FALSE,TRUE,FALSE,FALSE,15,0,Keep private-style name; no action unless consolidation is approved.
resizeSheetRows_,5574,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
resizeSheetColumns_,5579,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
getHeadersForSheetType_,5583,internal_helper,FALSE,TRUE,FALSE,FALSE,25,0,Keep private-style name; no action unless consolidation is approved.
getDefaultBehavior_,5591,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
showSheetIfNeeded_,5601,internal_helper,FALSE,TRUE,FALSE,FALSE,7,0,Keep private-style name; no action unless consolidation is approved.
hideSheetIfNeeded_,5613,internal_helper,FALSE,TRUE,FALSE,FALSE,12,0,Keep private-style name; no action unless consolidation is approved.
formatMonthlySheets,5627,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
findMonthlyImportSheetForRoute_,5671,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getMonthlyImportSheetCandidatesForRoute_,5697,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
isMonthlyImportSheetCandidate_,5707,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getMonthlyImportCandidateRank_,5718,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
sheetNameMatchesPromptedMonth_,5726,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
normalizeMonthlyImportSheetName_,5751,internal_helper,FALSE,TRUE,FALSE,FALSE,6,0,Keep private-style name; no action unless consolidation is approved.
buildPromptedMonthContext_,5759,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
formatMonthlyBannerSheet_,5768,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
formatMonthlyDashboardSheetFromSource_,5790,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
formatMonthlyRawDataSheetFromSource_,5824,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
formatBannerReport,5830,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
validateActiveBannerFormatterOutput,5899,diagnostic_or_validation_entry_point_review,TRUE,FALSE,FALSE,FALSE,0,1,Classify as supported diagnostic API or test-only entry point before renaming.
archiveActiveRawDataSheet,5921,public_like_review_required,TRUE,FALSE,FALSE,FALSE,0,1,Do not make private until external/manual consumers are checked; add wrapper before rename.
parseReportMonthInput_,5939,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
promptForLockedYearReportMonth_,5972,internal_helper,FALSE,TRUE,FALSE,FALSE,18,0,Keep private-style name; no action unless consolidation is approved.
boolText_,6016,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
isPrimaryPMRRowValue_,6020,internal_helper,FALSE,TRUE,FALSE,FALSE,8,0,Keep private-style name; no action unless consolidation is approved.
assignPrimaryPMRRows_,6025,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getCurrentBannersSheet_,6053,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
getCurrentUnlockedCarePlanSheet_,6065,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getCurrentCarePlanDueSheet_,6074,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getPreviousMasterListSheet_,6086,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
getCurrentMasterListSheet_,6092,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
applyStandardFormatting_,6098,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
applyStandardFormattingAfterHeadersAndData_,6141,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
forceStandardTitleCellAlignment_,6151,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
captureHiddenSheetNames_,6160,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
restorePreviouslyHiddenSheets_,6169,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
finalizeWorkflowAfterCreateOrUpdate_,6186,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
refreshIndexAfterSheetWorkflow_,6190,internal_helper,FALSE,TRUE,FALSE,FALSE,8,0,Keep private-style name; no action unless consolidation is approved.
hidePreviousMonthSheets_,6198,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
autoHidePreviousMonthSheetsAfterWorkflow_,6202,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyIndexSheetRowFills_,6217,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
applyCurrentVsOlderTabColors_,6238,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
organizeSheetTabs_,6261,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
formatDateColumnsByHeader_,6265,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
rowObjectFromHeaders_,6284,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
getLiveDashboardAuditStatus_,6294,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getLiveTemplateValidationStatus_,6298,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getLiveFrameworkHealthStatus_,6302,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getLiveSheetStatus_,6306,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
setMonthlySheetNameFast_,6312,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
writePMRContactsToParticipantRows_,6318,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
buildParticipantContactKey_,6474,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
isExpiredContactPhoneDate_,6483,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
capitalizeContactPart_,6490,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
formatRankedContact_,6497,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getMostRecentDateFromRowsByHeader_,6513,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
isDateInStrictLocalRangeInclusive_,6525,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
isDateDisplayInReportWindow_,6536,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
isParticipantEnrollmentStatusDisenrolled_,6540,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getSheetTypeForOrganization_,6550,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
collectFrameworkHealthCheckRows_,6565,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
collectWorkflowSyncVerificationRows_,6577,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
runFrameworkSmokeValidation,6585,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,1,3,Keep public; menu callback strings require stable top-level function name.
collectFrameworkSmokeValidationRows_,6601,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
appendFrameworkSmokeValidationRow_,6644,internal_helper,FALSE,TRUE,FALSE,FALSE,6,0,Keep private-style name; no action unless consolidation is approved.
functionSourceContainsAll_,6648,internal_helper,FALSE,TRUE,FALSE,FALSE,6,0,Keep private-style name; no action unless consolidation is approved.
runDashboardQualityMasterListHealthCheck_,6655,diagnostic_or_validation_entry_point_review,FALSE,TRUE,FALSE,FALSE,0,0,Classify as supported diagnostic API or test-only entry point before renaming.
buildCombinedFrameworkTestDashboardRows_,6664,internal_helper,FALSE,TRUE,FALSE,FALSE,1,1,Keep private-style name; no action unless consolidation is approved.
applyDashboardTemplateFormattingToActiveReportSheet_,6675,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
applyDashboardSortOrderAlternatingColors_,6686,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
ensureStandardTitleRows_,6728,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
isDateLikeHeader_,6746,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
buildMonthlySheetNameNoDashAfterPrefix_,6755,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
formatReportDateLabel_,6759,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
buildBannerReportOutputName_,6766,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
renameSheetSafely_,6771,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
deleteSheetIfExists_,6785,internal_helper,FALSE,TRUE,FALSE,FALSE,11,0,Keep private-style name; no action unless consolidation is approved.
writeBannerReportDates_,6809,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
copyRawBannerDataToOutput_,6818,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
ensureSheetHasAtLeastRows_,6869,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
validateBannerFormatterOutput_,6876,diagnostic_or_validation_entry_point_review,FALSE,TRUE,FALSE,FALSE,1,0,Classify as supported diagnostic API or test-only entry point before renaming.
archiveRawSourceAndDeleteLocal_,6904,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
archiveRawDataSheet_,6926,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
hideMonthlyImportSheets,6943,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,2,Keep public; menu callback strings require stable top-level function name.
hideMonthlyActiveSheets,6955,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,2,Keep public; menu callback strings require stable top-level function name.
hideMonthlySheetsBySpecs_,6967,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
archiveMonthlyImportSheets,6992,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
archiveMonthlyActiveSheets,7009,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
archiveMonthlySheetsBySpecs_,7027,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
findArchiveMonthlyCandidateSheets_,7066,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
copySheetToArchiveAndDeleteLocal_,7090,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
notifyArchiveMonthlySheetsResult_,7110,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
deleteArchiveSheetIfExists_,7119,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
formatMonthlyChangeSubheaderRow,7136,public_like_review_required,TRUE,FALSE,FALSE,FALSE,0,0,Do not make private until external/manual consumers are checked; add wrapper before rename.
formatMonthlyChangeSubsectionBlock,7140,public_like_review_required,TRUE,FALSE,FALSE,FALSE,1,0,Do not make private until external/manual consumers are checked; add wrapper before rename.
getMonthlyChangeSubsectionLabels,7152,public_like_review_required,TRUE,FALSE,FALSE,FALSE,0,0,Do not make private until external/manual consumers are checked; add wrapper before rename.
normalizeNumberFormatForCompare_,7157,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
numberFormatsMatch_,7177,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
validateTemplateFromDashboard_,7183,diagnostic_or_validation_entry_point_review,FALSE,TRUE,FALSE,FALSE,1,1,Classify as supported diagnostic API or test-only entry point before renaming.
writeTemplateValidationReport_,7329,internal_helper,FALSE,TRUE,FALSE,FALSE,1,1,Keep private-style name; no action unless consolidation is approved.
testRawDataFormatFullFastCanvasPath,7335,diagnostic_or_validation_entry_point_review,TRUE,FALSE,FALSE,FALSE,0,0,Classify as supported diagnostic API or test-only entry point before renaming.
testRawDataFormatMinimalOutputPath,7357,diagnostic_or_validation_entry_point_review,TRUE,FALSE,FALSE,FALSE,0,0,Classify as supported diagnostic API or test-only entry point before renaming.
testRawDataFormatInPlacePath,7378,diagnostic_or_validation_entry_point_review,TRUE,FALSE,FALSE,FALSE,0,0,Classify as supported diagnostic API or test-only entry point before renaming.
runRawDataFormattingTestPath_,7395,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
buildRawDataFormattingTestContext_,7412,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
writeRawDataInPlaceTitleRowsAndAddedColumnsForTesting_,7436,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
writeRawDataMinimalCanvasForTesting_,7505,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
buildRawDataTestOutputName_,7536,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
assertRawDataInPlaceTestSheetAllowed_,7542,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
formatRawData,7548,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
formatRawDataInPlaceSheet_,7579,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
buildRawDataInPlaceFormattingContext_,7636,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
writeRawDataInPlaceTitleRowsAndAddedColumns_,7650,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
ensureRawDataHeaderRows_,7747,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
rowLooksLikeParticipantHeader_,7765,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
getRawDataCurrentHeadersOrDefaults_,7775,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
enforceDemoPStrictDashboardSchema_,7782,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
buildRawDataSourceArchiveName_,7826,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
mapRowsToHeaders_,7838,internal_helper,FALSE,TRUE,FALSE,FALSE,7,0,Keep private-style name; no action unless consolidation is approved.
applyUniversalFastCanvasFormatting_,7850,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
applyGovernedTextAndNumberFormats_,7868,internal_helper,FALSE,TRUE,FALSE,FALSE,8,0,Keep private-style name; no action unless consolidation is approved.
applyOutputVisibilityPolicy_,7900,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
createOutputSheetFromDashboardTemplate_,7912,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
createRawDataOutputSheetFromTemplateFast_,8003,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
ensureOutputSheetHasFormattedRows_,8084,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
syncRawDataBannerColumns_,8117,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
buildSourceMapByCompositeKeyForDemoPBanner_,8205,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
formatCarePlanDueReport,8247,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,4,Keep public; menu callback strings require stable top-level function name.
formatUnlockedCarePlanReport,8256,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,4,Keep public; menu callback strings require stable top-level function name.
formatCarePlanDueOrUnlockedFromDashboard_,8265,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
buildRawArchiveNameForSheetType_,8363,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
collectMovedTitleInfoCells_,8390,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
collectAndClearMovedTitleInfoCells_,8408,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
prepareCarePlanSourceSheetForDashboardFormat_,8412,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
prepareRawDataSourceSheetForDashboardFormat_,8419,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
